Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
467, 30000, 918, 4792, 3
468, 30000, 919, 4792, 3
469, 30000, 916, 4792, 3
470, 29900, 916, 4792, 2
471, 30000, 919, 4792, 2
472, 30000, 916, 4792, 2
473, 30000, 918, 4788, 2
474, 29900, 918, 4792, 2
475, 30000, 916, 4788, 3
476, 29900, 916, 4792, 2
477, 30000, 916, 4792, 2
478, 30000, 916, 4792, 3
479, 30000, 916, 4792, 3
480, 29900, 919, 4792, 3
481, 29900, 918, 4792, 3
482, 30000, 919, 4792, 2
483, 29900, 918, 4788, 3
484, 30000, 919, 4788, 3
485, 30000, 919, 4788, 3
486, 30000, 919, 4792, 2
487, 30000, 916, 4792, 2
488, 30000, 919, 4792, 2
489, 29900, 919, 4792, 2
490, 29900, 916, 4788, 3
491, 30000, 919, 4792, 3
492, 30000, 916, 4792, 3
493, 30000, 919, 4792, 3
494, 30000, 918, 4788, 2
495, 29900, 916, 4792, 2
496, 29900, 916, 4792, 2
497, 30000, 916, 4788, 2
498, 30000, 919, 4792, 2
499, 30000, 916, 4788, 3
500, 29900, 916, 4788, 2
501, 30000, 919, 4792, 3
502, 30000, 919, 4788, 2
503, 29900, 916, 4792, 3
504, 30000, 919, 4792, 3
505, 29900, 916, 4788, 2
506, 30000, 916, 4792, 3
507, 30000, 916, 4792, 3
508, 30000, 916, 4792, 3
509, 29900, 916, 4792, 3
510, 30000, 919, 4792, 2
511, 29900, 916, 4792, 3
512, 30000, 919, 4788, 2
513, 30000, 919, 4792, 3
514, 30000, 918, 4792, 3
515, 30000, 919, 4792, 2
516, 30000, 919, 4792, 2
517, 29900, 919, 4792, 3
518, 29900, 919, 4788, 3
519, 30000, 916, 4792, 3
520, 30000, 919, 4792, 2
521, 29900, 919, 4792, 3
522, 29900, 919, 4792, 2
523, 30000, 916, 4792, 3
524, 30000, 916, 4788, 2
525, 30000, 916, 4788, 3
526, 30000, 919, 4788, 3
527, 30000, 916, 4792, 3
528, 30000, 918, 4788, 2
529, 30000, 918, 4788, 2
530, 29900, 918, 4788, 2
531, 29900, 918, 4792, 3
532, 29900, 916, 4792, 3
533, 30000, 919, 4792, 3
534, 30000, 918, 4788, 2
535, 29900, 919, 4792, 2
536, 30000, 919, 4792, 3
537, 29900, 916, 4792, 3
538, 29900, 916, 4792, 2
539, 29900, 916, 4792, 2
540, 29900, 916, 4788, 3
541, 30000, 919, 4792, 2
542, 30000, 918, 4792, 3
543, 30000, 918, 4792, 2
544, 29900, 919, 4792, 2
545, 30000, 916, 4792, 3
546, 30000, 918, 4788, 2
547, 30000, 916, 4792, 3
548, 30000, 919, 4792, 3
549, 30000, 919, 4792, 3
550, 30000, 919, 4792, 3
551, 29900, 916, 4788, 3
552, 30000, 919, 4792, 3
553, 29900, 919, 4792, 3
554, 29900, 916, 4792, 2
555, 30000, 918, 4788, 3
556, 30000, 916, 4792, 3
557, 30000, 919, 4788, 3
558, 30000, 919, 4792, 3
559, 30000, 919, 4788, 3
560, 29900, 918, 4792, 3
561, 29900, 918, 4792, 2
562, 29900, 918, 4792, 3
563, 30000, 919, 4792, 3
564, 29900, 919, 4788, 3
565, 30000, 919, 4792, 2
566, 30000, 918, 4792, 3
567, 30000, 919, 4792, 3
568, 30000, 919, 4792, 2
569, 29900, 916, 4788, 2
570, 30000, 919, 4792, 2
571, 30000, 918, 4788, 2
572, 30000, 916, 4792, 2
573, 30000, 919, 4792, 3
574, 30000, 919, 4792, 3
575, 30000, 918, 4788, 3
576, 30000, 918, 4788, 2
577, 30100, 919, 4792, 3
578, 30000, 918, 4792, 2
579, 30000, 916, 4792, 3
580, 30000, 918, 4788, 3
581, 30000, 919, 4792, 3
582, 29900, 919, 4792, 3
583, 30000, 919, 4792, 3
584, 30000, 919, 4792, 3
585, 30000, 919, 4788, 3
586, 30000, 916, 4788, 3
587, 30000, 918, 4788, 3
588, 29900, 916, 4792, 3
589, 30000, 916, 4792, 3
590, 30000, 919, 4792, 3
591, 30000, 916, 4788, 2
592, 30000, 916, 4788, 3
593, 30000, 919, 4788, 2
594, 29900, 919, 4792, 3
595, 30000, 919, 4792, 2
596, 30000, 918, 4788, 2
597, 30000, 919, 4792, 3
598, 30000, 919, 4788, 3
599, 30000, 919, 4792, 3
600, 30000, 919, 4792, 3
601, 30000, 916, 4788, 3
602, 30000, 916, 4792, 2
603, 30000, 916, 4792, 3
604, 30000, 918, 4788, 3
605, 30000, 916, 4792, 3
606, 29900, 919, 4792, 3
607, 30000, 916, 4792, 2
608, 30000, 916, 4792, 3
609, 30000, 919, 4788, 2
610, 30000, 919, 4792, 3
611, 30000, 919, 4792, 2
612, 29900, 919, 4792, 3
613, 30000, 918, 4792, 3
614, 30000, 918, 4788, 2
615, 30000, 919, 4792, 3
616, 30000, 919, 4792, 3
617, 30000, 919, 4792, 2
618, 30000, 919, 4792, 3
619, 29900, 916, 4788, 3
620, 29900, 919, 4792, 2
621, 29900, 919, 4792, 3
622, 30000, 918, 4788, 3
623, 30000, 918, 4792, 3
624, 30000, 916, 4792, 3
625, 30000, 918, 4788, 3
626, 30000, 919, 4792, 3
627, 30000, 916, 4792, 3
628, 30000, 918, 4788, 2
629, 30000, 919, 4792, 2
630, 30000, 918, 4792, 3
631, 30000, 916, 4792, 3
632, 30000, 919, 4792, 3
633, 30000, 919, 4792, 3
634, 30000, 919, 4792, 3
635, 30000, 918, 4792, 3
636, 30000, 916, 4788, 3
637, 30000, 919, 4788, 3
638, 30000, 919, 4788, 2
639, 30000, 919, 4792, 3
640, 30000, 919, 4792, 3
641, 30000, 919, 4792, 3
642, 30000, 918, 4788, 3
643, 30000, 919, 4792, 3
644, 30000, 918, 4788, 3
645, 30000, 918, 4788, 3
646, 30000, 916, 4788, 3
647, 30000, 919, 4788, 3
648, 30000, 919, 4792, 3
649, 30000, 918, 4788, 3
650, 30000, 919, 4792, 2
651, 30000, 916, 4788, 3
652, 30000, 919, 4788, 3
653, 30000, 918, 4788, 3
654, 30000, 919, 4792, 3
655, 30000, 918, 4792, 3
656, 30000, 919, 4792, 2
657, 30000, 918, 4792, 3
658, 30000, 919, 4792, 3
659, 30000, 918, 4788, 3
660, 30000, 919, 4792, 3
661, 30000, 919, 4792, 3
662, 30000, 919, 4788, 3
663, 30000, 918, 4792, 3
664, 30000, 918, 4788, 3
665, 30000, 918, 4788, 2
666, 30000, 918, 4788, 3
667, 30000, 919, 4792, 3
668, 30000, 919, 4792, 3
669, 30000, 919, 4792, 3
670, 30000, 916, 4788, 3
671, 30000, 919, 4792, 3
672, 30000, 918, 4792, 3
673, 29900, 918, 4792, 3
674, 30000, 918, 4792, 3
675, 30000, 919, 4792, 3
676, 30000, 918, 4788, 3
677, 30000, 919, 4788, 3
678, 30000, 919, 4792, 3
679, 30000, 918, 4792, 3
680, 30000, 919, 4792, 2
681, 30000, 919, 4792, 3
682, 30000, 918, 4792, 3
683, 30000, 916, 4788, 3
684, 30000, 919, 4792, 3
685, 30000, 919, 4792, 2
686, 30000, 919, 4792, 3
687, 30000, 919, 4792, 3
688, 29900, 919, 4792, 3
689, 30000, 918, 4792, 3
690, 30000, 919, 4792, 3
691, 30000, 919, 4792, 3
692, 30000, 918, 4792, 3
693, 30000, 919, 4792, 3
694, 30000, 918, 4788, 3
695, 30000, 919, 4792, 3
696, 29900, 919, 4792, 3
697, 30100, 919, 4788, 3
698, 30000, 919, 4788, 3
699, 30000, 916, 4788, 3
700, 30000, 919, 4788, 3
701, 30000, 919, 4792, 3
702, 30000, 918, 4792, 3
703, 30000, 918, 4792, 3
704, 30000, 918, 4792, 3
705, 30000, 921, 4788, 3
706, 30000, 919, 4792, 3
707, 30000, 919, 4792, 3
708, 30000, 919, 4792, 3
709, 30000, 919, 4792, 3
710, 30000, 921, 4792, 3
711, 30000, 919, 4788, 3
712, 30000, 919, 4792, 3
713, 30000, 919, 4792, 3
714, 30000, 919, 4792, 3
715, 30000, 919, 4792, 3
716, 30000, 916, 4792, 3
717, 30000, 919, 4792, 3
718, 30000, 918, 4792, 3
719, 30000, 919, 4792, 3
720, 30000, 921, 4792, 3
721, 30000, 919, 4792, 3
722, 30000, 919, 4792, 3
723, 30000, 919, 4792, 3
724, 30000, 918, 4788, 3
725, 30000, 919, 4792, 2
726, 30000, 919, 4788, 3
727, 30000, 919, 4788, 3
728, 30000, 918, 4792, 3
729, 30000, 918, 4788, 3
730, 30000, 918, 4788, 3
731, 30000, 919, 4792, 3
732, 30000, 919, 4792, 3
733, 30000, 919, 4792, 3
734, 30000, 921, 4792, 3
735, 30000, 919, 4792, 3
736, 30000, 918, 4788, 3
737, 30000, 918, 4788, 3
738, 30000, 918, 4788, 3
739, 30000, 921, 4792, 3
740, 30000, 918, 4792, 3
741, 30000, 919, 4792, 3
742, 30000, 918, 4788, 3
743, 30000, 919, 4792, 3
744, 30000, 919, 4792, 3
745, 30100, 918, 4792, 3
746, 30000, 916, 4788, 3
747, 30000, 921, 4788, 3
748, 30000, 918, 4788, 3
749, 30000, 918, 4788, 3
750, 30000, 918, 4792, 3
751, 30000, 919, 4792, 3
752, 30000, 919, 4792, 3
753, 30000, 919, 4788, 3
