Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
488, 25500, 809, 4804, 2
489, 25500, 813, 4800, 2
490, 25600, 814, 4804, 2
491, 25500, 814, 4800, 2
492, 25600, 814, 4800, 2
493, 25600, 814, 4804, 2
494, 25500, 813, 4804, 2
495, 25600, 813, 4800, 2
496, 25600, 813, 4800, 2
497, 25600, 813, 4804, 2
498, 25600, 813, 4804, 2
499, 25500, 813, 4800, 2
500, 25600, 813, 4804, 2
501, 25500, 813, 4796, 2
502, 25600, 813, 4804, 2
503, 25600, 813, 4804, 2
504, 25500, 813, 4800, 2
505, 25500, 813, 4804, 2
506, 25500, 813, 4800, 2
507, 25500, 814, 4800, 2
508, 25500, 813, 4804, 2
509, 25600, 813, 4800, 2
510, 25500, 813, 4800, 2
511, 25500, 809, 4800, 2
512, 25400, 809, 4804, 2
513, 25400, 809, 4804, 2
514, 25400, 809, 4804, 2
515, 25400, 809, 4800, 2
516, 25300, 809, 4804, 2
517, 25400, 809, 4800, 2
518, 25300, 809, 4800, 2
519, 25400, 809, 4804, 2
520, 25400, 809, 4800, 2
521, 25400, 809, 4804, 2
522, 25400, 808, 4804, 2
523, 25300, 808, 4800, 2
524, 25400, 809, 4804, 2
525, 25400, 809, 4804, 2
526, 25400, 808, 4800, 2
527, 25400, 809, 4800, 2
528, 25400, 809, 4800, 2
529, 25800, 819, 4800, 2
530, 25700, 819, 4804, 2
531, 25600, 814, 4800, 2
532, 25800, 816, 4800, 2
533, 25700, 818, 4804, 2
534, 25700, 814, 4800, 2
535, 25400, 809, 4804, 2
536, 25400, 809, 4800, 2
537, 25500, 814, 4800, 2
538, 25500, 813, 4804, 2
539, 25500, 814, 4804, 2
540, 25600, 814, 4800, 2
541, 25700, 816, 4800, 2
542, 25800, 818, 4800, 2
543, 25900, 821, 4800, 2
544, 26000, 824, 4804, 2
545, 26000, 821, 4800, 2
546, 26000, 824, 4800, 2
547, 26000, 821, 4804, 2
548, 25900, 821, 4800, 2
549, 25800, 814, 4804, 2
550, 25600, 814, 4800, 2
551, 25600, 816, 4804, 2
552, 25800, 816, 4800, 2
553, 25700, 819, 4800, 2
554, 25700, 819, 4800, 2
555, 25700, 814, 4800, 2
556, 25700, 816, 4804, 2
557, 25700, 816, 4800, 2
558, 25700, 816, 4800, 2
559, 25700, 814, 4804, 2
560, 25700, 816, 4804, 2
561, 25700, 816, 4804, 2
562, 25600, 816, 4800, 2
563, 25700, 816, 4800, 2
564, 25700, 819, 4800, 2
565, 25700, 818, 4800, 2
566, 25700, 818, 4800, 2
567, 25700, 818, 4804, 2
568, 25800, 819, 4800, 2
569, 25600, 818, 4804, 2
