Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
610, 3600, 295, 4880, 0
611, 3800, 280, 4880, 0
612, 13900, 284, 4880, 0
613, 3400, 297, 4876, 0
614, 3100, 284, 4880, 0
615, 3500, 295, 4876, 0
616, 3400, 298, 4880, 1
617, 13100, 295, 4880, 0
618, 3800, 293, 4880, 0
619, 3500, 288, 4880, 0
620, 3500, 290, 4876, 0
621, 3400, 284, 4880, 1
622, 2400, 290, 4880, 0
623, 3300, 285, 4876, 0
624, 3600, 292, 4880, 0
625, 3100, 284, 4876, 0
626, 3800, 279, 4880, 1
627, 2000, 293, 4880, 0
628, 3700, 290, 4880, 0
629, 3400, 284, 4876, 0
630, 3400, 290, 4876, 0
631, 3500, 285, 4876, 0
632, 3300, 290, 4880, 0
633, 3300, 284, 4880, 0
634, 3600, 284, 4880, 0
635, 3400, 290, 4888, 0
636, 2900, 288, 4876, 0
637, 3500, 288, 4880, 0
638, 3300, 290, 4880, 0
639, 3300, 508, 4880, 0
640, 3800, 290, 4896, 0
641, 3600, 293, 4880, 0
642, 3500, 298, 4880, 0
643, 3000, 284, 4876, 0
644, 3400, 578, 4880, 0
645, 3400, 285, 4880, 0
646, 3800, 290, 4880, 0
647, 3500, 285, 4880, 0
648, 8300, 285, 4880, 0
649, 3700, 601, 4880, 0
650, 3500, 285, 4880, 0
651, 3600, 284, 4844, 0
652, 3100, 288, 4880, 0
653, 12300, 280, 4876, 0
654, 4000, 288, 4880, 0
655, 3500, 285, 4876, 0
656, 3400, 280, 4840, 0
657, 3400, 285, 4880, 0
658, 3100, 288, 4884, 0
659, 12500, 285, 4880, 0
660, 3500, 292, 4880, 0
661, 3700, 285, 4840, 0
662, 3800, 290, 4880, 0
663, 3500, 279, 4876, 0
664, 16100, 274, 4884, 0
665, 3500, 280, 4876, 0
666, 3200, 287, 4880, 0
667, 3600, 288, 4876, 0
668, 3200, 285, 4876, 0
669, 3500, 284, 4880, 0
670, 3900, 280, 4876, 0
671, 3800, 287, 4876, 0
672, 3600, 280, 4880, 0
673, 3700, 285, 4880, 0
674, 3500, 280, 4880, 0
675, 3500, 284, 4880, 0
676, 3400, 280, 4880, 0
677, 3300, 284, 4896, 0
678, 3300, 295, 4876, 0
679, 3300, 280, 4880, 0
680, 3200, 288, 4880, 0
681, 3400, 410, 4880, 0
682, 3700, 284, 4884, 0
683, 3300, 295, 4880, 0
684, 3200, 279, 4880, 0
685, 1200, 284, 4876, 0
686, 3600, 495, 4880, 0
687, 3700, 293, 4884, 0
688, 3500, 293, 4880, 0
689, 3300, 285, 4880, 0
690, 1400, 280, 4880, 0
691, 3400, 570, 4880, 0
692, 3900, 285, 4876, 0
693, 3100, 288, 4852, 0
694, 3600, 285, 4880, 0
695, 3700, 290, 4880, 0
696, 3600, 288, 4884, 0
697, 3300, 275, 4884, 0
698, 3600, 293, 4852, 0
699, 3200, 293, 4876, 0
700, 3300, 279, 4880, 0
701, 16300, 279, 4876, 0
702, 3300, 266, 4880, 0
703, 3600, 290, 4876, 0
704, 3900, 280, 4844, 0
705, 3500, 293, 4880, 1
706, 3500, 284, 4880, 0
707, 8200, 261, 4880, 0
708, 4000, 285, 4880, 0
709, 4000, 305, 4856, 0
710, 3600, 284, 4876, 0
711, 3700, 285, 4876, 0
712, 3800, 280, 4884, 0
713, 3200, 292, 4880, 0
714, 3500, 288, 4880, 0
715, 3500, 293, 4880, 0
716, 3400, 300, 4880, 1
717, 3200, 290, 4880, 0
718, 3100, 280, 4880, 0
719, 3600, 285, 4892, 0
720, 3200, 280, 4880, 0
721, 3600, 280, 4880, 0
722, 1500, 288, 4880, 0
723, 3300, 236, 4880, 0
724, 3700, 288, 4896, 0
725, 3600, 279, 4876, 0
726, 3400, 285, 4876, 0
727, 3000, 295, 4884, 0
728, 3500, 313, 4880, 0
729, 3500, 288, 4876, 0
730, 3400, 290, 4880, 0
731, 3100, 290, 4876, 0
732, 900, 284, 4876, 0
733, 3600, 390, 4880, 0
734, 3600, 285, 4876, 0
735, 3800, 284, 4880, 0
736, 3600, 284, 4880, 0
737, 3200, 275, 4876, 0
738, 3100, 285, 4876, 0
739, 3400, 285, 4884, 0
740, 3800, 285, 4868, 0
741, 3300, 290, 4880, 0
742, 2900, 275, 4880, 0
743, 14600, 290, 4880, 0
744, 3000, 485, 4880, 0
745, 3200, 293, 4856, 0
746, 3200, 293, 4880, 0
747, 3400, 295, 4876, 0
748, 15800, 288, 4880, 0
749, 3600, 506, 4880, 0
750, 3600, 275, 4876, 0
751, 3500, 290, 4880, 0
752, 3500, 280, 4880, 1
753, 13100, 293, 4876, 0
754, 11700, 284, 4884, 0
755, 3400, 249, 4876, 0
756, 3500, 290, 4880, 0
757, 3300, 285, 4880, 0
758, 3800, 285, 4880, 0
759, 3800, 280, 4880, 0
760, 3400, 274, 4876, 0
761, 3800, 285, 4880, 0
762, 3700, 284, 4896, 0
763, 3500, 290, 4880, 0
764, 3900, 288, 4876, 0
765, 4300, 284, 4880, 0
766, 3800, 287, 4876, 0
767, 3300, 284, 4880, 0
768, 4000, 280, 4880, 0
769, 3400, 293, 4880, 0
770, 2500, 300, 4876, 0
771, 3600, 429, 4880, 0
772, 3800, 280, 4896, 0
773, 3900, 290, 4880, 0
774, 3600, 275, 4876, 0
775, 2300, 288, 4880, 0
776, 3700, 552, 4880, 0
777, 3600, 285, 4876, 0
778, 3500, 280, 4880, 0
779, 3300, 279, 4880, 0
780, 1600, 280, 4880, 0
781, 3800, 582, 4880, 0
782, 3000, 284, 4880, 0
783, 3300, 285, 4844, 0
784, 3600, 285, 4880, 0
785, 3400, 300, 4880, 0
786, 3700, 288, 4880, 0
787, 3600, 290, 4880, 0
788, 3600, 290, 4844, 0
789, 3500, 279, 4880, 0
790, 3600, 290, 4876, 0
791, 12700, 285, 4876, 0
792, 3500, 285, 4880, 0
793, 3500, 285, 4880, 0
794, 3900, 285, 4844, 0
795, 3600, 280, 4876, 1
796, 3500, 284, 4880, 0
797, 7000, 284, 4880, 0
798, 3600, 280, 4876, 0
799, 3400, 280, 4880, 0
800, 3600, 290, 4880, 0
801, 3700, 275, 4880, 0
802, 3700, 259, 4880, 0
803, 3600, 285, 4880, 0
804, 3600, 285, 4892, 0
805, 3700, 280, 4880, 0
806, 3200, 279, 4880, 1
807, 3600, 285, 4880, 0
808, 3100, 226, 4880, 0
809, 3900, 284, 4880, 0
810, 3200, 280, 4880, 0
811, 3300, 288, 4880, 0
812, 1500, 284, 4880, 0
813, 3700, 229, 4880, 0
814, 3600, 285, 4876, 0
815, 3700, 279, 4880, 0
816, 3700, 288, 4880, 0
817, 3700, 288, 4880, 0
818, 3600, 269, 4880, 0
819, 3700, 284, 4876, 0
820, 3300, 295, 4892, 0
821, 3600, 298, 4880, 0
822, 2600, 298, 4880, 0
823, 3800, 293, 4880, 0
824, 3700, 290, 4880, 0
825, 3300, 284, 4888, 0
826, 3900, 274, 4880, 0
827, 3100, 280, 4876, 0
828, 3600, 293, 4880, 0
829, 3400, 546, 4884, 0
830, 3400, 284, 4876, 0
